,artist,track
633,Taylor Swift,Look What You Made Me Do
634,Lil Uzi Vert,XO Tour Llif3
635,XXXTENTACION,Jocelyn Flores
636,XXXTENTACION,Fuck Love (feat. Trippie Redd)
637,XXXTENTACION,Everybody Dies In Their Nightmares
638,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
639,XXXTENTACION,Revenge
640,Ozuna,Tú Foto
641,XXXTENTACION,Depression & Obsession
642,Lil Uzi Vert,Sauce It Up
643,Lil Uzi Vert,444+222
644,XXXTENTACION,Carry On
645,XXXTENTACION,Save Me
646,Lil Uzi Vert,X
647,XXXTENTACION,Orlando
648,Fifth Harmony,He Like That
649,XXXTENTACION,Dead Inside (Interlude)
650,Lil Uzi Vert,UnFazed (feat. The Weeknd)
651,Lil Uzi Vert,Two®
652,Demi Lovato,Tell Me You Love Me
653,Ozuna,Se Preparó
654,Lil Uzi Vert,For Real
655,Lil Uzi Vert,Neon Guts (feat. Pharrell Williams)
656,Lil Uzi Vert,No Sleep Leak
657,XXXTENTACION,Ayala (Outro)
658,Lil Uzi Vert,Dark Queen
659,"Alex Sensation, Ozuna",Que Va
660,Astrid S,Think Before I Talk
661,Lil Uzi Vert,Feelings Mutual
662,Thirty Seconds To Mars,Walk On Water
663,XXXTENTACION,The Explanation
664,Taylor Swift,...Ready For It?
665,Maroon 5,What Lovers Do (feat. SZA)
666,Jason Derulo,If I'm Lucky
667,The Script,Rain
668,Tay-K,The Race
669,"Yandel, Bad Bunny",Explícale
670,Sam Smith,Too Good At Goodbyes - Edit
671,"ZAYN, Sia",Dusk Till Dawn - Radio Edit
672,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
673,Yandel,Explícale (feat. Bad Bunny)
674,Lil Pump,Gucci Gang
675,"G-Eazy, A$AP Rocky, Cardi B",No Limit
676,Kodak Black,Transportin'
677,Sam Smith,I'm Not The Only One
678,"Post Malone, 21 Savage",rockstar
679,Niall Horan,Too Much To Ask
680,Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX"
681,BTS,DNA
682,Gucci Mane,Curve (feat. The Weeknd)
683,Bebe Rexha,Meant to Be (feat. Florida Georgia Line)
684,"Natti Natasha, Ozuna",Criminal
685,"Joey Montana, Sebastian Yatra",Suena El Dembow
686,BTS,Best Of Me
687,"Jesse & Joy, Gente De Zona",3 A.M.
688,Yandel,Como Antes (feat. Wisin)
689,A$AP Ferg,Plain Jane
690,BTS,dimple
691,Post Malone,Candy Paint
692,"Kygo, Justin Jesso",Stargazing
693,Macklemore,Good Old Days (feat. Kesha)
694,DJ Snake,A Different Way (with Lauv)
695,Post Malone,I Fall Apart
696,BTS,Go Go
697,BTS,MIC Drop
698,Alan Walker,The Spectre
699,Fall Out Boy,The Last Of The Real Ones
700,"J Balvin, Willy William",Mi Gente (feat. Beyoncé)
701,"Jax Jones, Demi Lovato, Stefflon Don",Instruction
702,"R3HAB, Quintino",I Just Can't
703,Tom Petty,Free Fallin'
704,Charlie Puth,How Long
705,Sam Smith,Pray
706,NF,Let You Down
707,Maroon 5,Help Me Out (with Julia Michaels)
708,Shakira,Perro Fiel (feat. Nicky Jam)
709,Lauv,Easy Love
710,"Daddy Yankee, Bad Bunny",Vuelve
711,Kane Brown,What Ifs (feat. Lauren Alaina)
712,Lil Pump,Boss
713,Big Shaq,Man's Not Hot
714,Rich The Kid,New Freezer (feat. Kendrick Lamar)
715,Gucci Mane,I Get the Bag (feat. Migos)
716,Bausa,Was du Liebe nennst
717,"Alesso, Anitta",Is That for Me
718,P!nk,Revenge (feat. Eminem)
719,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ)
720,P!nk,Beautiful Trauma
721,Noah Cyrus,Again (feat. XXXTENTACION)
722,Chris Brown,High End (feat. Future & Young Thug)
723,Taylor Swift,Gorgeous
724,"Kygo, The Night Game",Kids in Love
725,Liam Payne,Bedroom Floor
726,"Future, Young Thug",Patek Water (feat. Offset)
727,Future,Feed Me Dope
728,Rita Ora,Anywhere
729,Daya,New
730,"Selena Gomez, Marshmello",Wolves
731,Maroon 5,Whiskey (feat. A$AP Rocky)
732,Niall Horan,On The Loose
733,"Future, Young Thug",No Cap
734,"Migos, Nicki Minaj, Cardi B",MotorSport
735,Clean Bandit,I Miss You (feat. Julia Michaels)
736,"21 Savage, Offset, Metro Boomin, Travis Scott",Ghostface Killers
737,"Alan Walker, Noah Cyrus, Digital Farm Animals",All Falls Down (feat. Juliander)
738,Yo Gotti,Rake It Up (feat. Nicki Minaj)
739,Michael Jackson,Thriller
740,Sam Smith,Burning
741,Offset,Ric Flair Drip (& Metro Boomin)
742,"Sebastian Yatra, Dalmata",SUTRA
743,Chris Brown,"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)"
744,"21 Savage, Offset, Metro Boomin, Quavo",Rap Saved Me
745,Sam Smith,Too Good At Goodbyes
746,Taylor Swift,Call It What You Want
747,Sam Smith,One Last Song
748,Maroon 5,Wait
749,Sam Smith,Say It First
750,"N.E.R.D, Rihanna",Lemon
751,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",Sensualidad
752,Sam Smith,Midnight Train
753,"Sam Smith, Yebba",No Peace
754,Kygo,Kids in Love (feat. The Night Game)
755,Sam Smith,HIM
756,Sam Smith,"Baby, You Make Me Crazy"
757,Sam Smith,Nothing Left For You
758,"Maluma, Nego do Borel",Corazón
759,"David Guetta, Afrojack",Dirty Sexy Money (feat. Charli XCX & French Montana)
760,"21 Savage, Metro Boomin",My Choppa Hate Niggas
761,Sam Smith,Palace
762,Sam Smith,Scars
763,Sam Smith,The Thrill Of It All
764,Lil Xan,Betrayed
765,Piso 21,Déjala Que Vuelva (feat. Manuel Turizo)
766,Sam Smith,One Day At A Time
767,Kygo,Stranger Things (feat. OneRepublic)
768,"Big Sean, 21 Savage",Pull Up N Wreck (With Metro Boomin)
769,Eminem,Walk On Water (feat. Beyoncé)
770,NAV,Wanted You (feat. Lil Uzi Vert)
771,Jason Derulo,Tip Toe (feat. French Montana)
772,Lil Uzi Vert,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix
773,Famous Dex,PICK IT UP (feat. A$AP Rocky)
774,Mariah Carey,All I Want for Christmas Is You
775,"De La Ghetto, Daddy Yankee, Ozuna, Chris Jedi",La fórmula (feat. Chris Jeday)
776,22 Savage,The Race
777,"Luis Fonsi, Demi Lovato",Échame La Culpa
778,"Camila Cabello, Daddy Yankee",Havana - Remix
779,Lil Peep,Save That Shit
780,"Lorde, Khalid, Post Malone, SZA",Homemade Dynamite - REMIX
781,"Anitta, J Balvin",Downtown
782,Lil Peep,Benz Truck - гелик
783,Wham!,Last Christmas
784,Lil Peep,Awful Things
785,"Steve Aoki, Lauren Jauregui",All Night
786,Miguel,Sky Walker (feat. Travis Scott)
787,Diplo,Get It Right (feat. MØ)
788,6ix9ine,GUMMO
789,YBN Nahmir,Rubbin Off The Paint
790,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
791,James Arthur,Naked
792,Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)"
793,Michael Bublé,It's Beginning to Look a Lot like Christmas
794,Brenda Lee,Rockin' Around The Christmas Tree - Single Version
795,Justin Bieber,Mistletoe
796,Andy Williams,It's the Most Wonderful Time of the Year
797,Ariana Grande,Santa Tell Me
798,Maluma,GPS (feat. French Montana)
799,Band Aid,Do They Know It's Christmas? - 1984 Version
800,Kodak Black,Codeine Dreaming (feat. Lil Wayne)
801,Anita Kerr Singers,Jingle Bell Rock
802,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)
803,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé)
804,"G-Eazy, Halsey",Him & I
805,"Martin Garrix, David Guetta",So Far Away (feat. Jamie Scott & Romy Dya)
806,Wisin,Escápate Conmigo (feat. Ozuna)
807,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010
808,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas
809,"Taylor Swift, Ed Sheeran, Future",End Game
810,The Pogues,Fairytale of New York (feat. Kirsty MacColl)
811,José Feliciano,Feliz Navidad
812,Chris Rea,Driving Home for Christmas
813,Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version
814,Taylor Swift,I Did Something Bad
815,Bad Bunny,Chambea
816,Louis Tomlinson,Miss You
817,Taylor Swift,Don’t Blame Me
818,Taylor Swift,Delicate
819,Nat King Cole,The Christmas Song (Merry Christmas To You)
820,Sam Smith,Have Yourself A Merry Little Christmas
821,Michael Bublé,Holly Jolly Christmas
822,Burl Ives,A Holly Jolly Christmas - Single Version
823,Shakin' Stevens,Merry Christmas Everyone - Remastered
824,Elvis Presley,Blue Christmas
825,Camila Cabello,Never Be the Same
826,"Big Sean, Travis Scott",Go Legend (& Metro Boomin)
827,Camila Cabello,Real Friends
828,Eminem,Untouchable
829,"Big Sean, 21 Savage",Pull Up N Wreck (& Metro Boomin)
830,Coldplay,Christmas Lights
831,Pentatonix,Hallelujah
832,Axwell /\ Ingrosso,Dreamer
833,"Mykola Dmytrovych Leontovych, John Williams",Carol of the Bells
834,Sia,Santa's Coming for Us
835,"Eartha Kitt, Henri Rene & His Orchestra",Santa Baby (with Henri René & His Orchestra)
836,"Perry Como, The Fontane Sisters",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)
837,"Big Sean, Kash Doll",So Good (& Metro Boomin)
838,Eminem,River (feat. Ed Sheeran)
839,G-Eazy,Him & I (with Halsey)
840,Eminem,Believe
841,"Anitta, Mc Zaac, Maejor",Vai malandra (feat. Tropkillaz & DJ Yuri Martins)
842,Eminem,Like Home (feat. Alicia Keys)
843,Eminem,Remind Me
844,Eminem,Bad Husband (feat. X Ambassadors)
845,Bobby Helms,Jingle Bell Rock
846,Eminem,Tragic Endings (feat. Skylar Grey)
847,Eminem,Chloraseptic (feat. Phresher)
848,Eminem,Nowhere Fast (feat. Kehlani)
849,"G-Eazy, Charlie Puth",Sober
850,Eminem,Framed
851,Eminem,Revival (Interlude)
852,Eminem,In Your Head
853,Eminem,Offended
854,Eminem,Need Me (feat. Pink)
855,Eminem,Castle
856,Eminem,Heat
857,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán",Bum Bum Tam Tam
858,Eminem,Arose
859,Ed Sheeran,Perfect Symphony (Ed Sheeran & Andrea Bocelli)
860,Britney Spears,My Only Wish (This Year)
861,Michael Bublé,White Christmas (with Shania Twain)
862,Cardi B,Bartier Cardi (feat. 21 Savage)
863,Elton John,Step Into Christmas
864,"Huncho Jack, Travis Scott, Quavo",Modern Slavery
865,"Huncho Jack, Travis Scott, Quavo, Offset",Dubai Shit
866,"Huncho Jack, Travis Scott, Quavo",Black & Chinese
867,Kelly Clarkson,Underneath the Tree
868,"Huncho Jack, Travis Scott, Quavo",Saint
869,"Huncho Jack, Travis Scott, Quavo, Takeoff",Eye 2 Eye
870,Vince Guaraldi Trio,Christmas Time Is Here - Vocal
871,Bing Crosby,Winter Wonderland
872,Chuck Berry,Run Rudolph Run - Single Version
873,Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version
874,"Huncho Jack, Travis Scott, Quavo",Motorcycle Patches
875,Kylie Minogue,Santa Baby
876,Michael Bublé,Jingle Bells (feat. The Puppini Sisters)
877,"The Beach Boys, Mark Linett, Sweet, Larry Walsh",Little Saint Nick - 1991 Remix
878,Meghan Trainor,I'll Be Home
879,The Ronettes,Sleigh Ride
880,"Huncho Jack, Travis Scott, Quavo",Huncho Jack
881,Wolfine,Bella
882,Michael Bublé,Santa Claus Is Coming to Town
883,The Jackson 5,Santa Claus Is Coming To Town
884,Queen,Thank God It's Christmas - Non-Album Single
885,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975"
886,Michael Bublé,Cold December Night
887,Boney M.,Mary's Boy Child / Oh My Lord
888,*NSYNC,"Merry Christmas, Happy Holidays"
889,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse
890,Ariana Grande,"thank u, next"
891,Post Malone,Wow.
892,Halsey,Without Me
893,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
894,Ava Max,Sweet but Psycho
895,"Pedro Capó, Farruko",Calma - Remix
896,Bad Bunny,MIA (feat. Drake)
897,"Marshmello, Bastille",Happier
898,Travis Scott,SICKO MODE
899,Panic! At The Disco,High Hopes
900,Meek Mill,Going Bad (feat. Drake)
901,Paulo Londra,Adan y Eva
902,Kodak Black,ZEZE (feat. Travis Scott & Offset)
903,"Lady Gaga, Bradley Cooper",Shallow
904,benny blanco,Eastside (with Halsey & Khalid)
905,Lil Baby,Drip Too Hard (Lil Baby & Gunna)
906,Sheck Wes,Mo Bamba
907,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee)
908,"XXXTENTACION, Lil Pump",Arms Around You (feat. Maluma & Swae Lee)
909,Billie Eilish,when the party's over
910,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus)
911,Post Malone,Better Now
912,Khalid,Better
913,Maroon 5,Girls Like You (feat. Cardi B)
914,Ariana Grande,imagine
915,XXXTENTACION,SAD!
916,Dean Lewis,Be Alright
917,Khalid,Saturday Nights
918,Juice WRLD,Lucid Dreams
919,"Dynoro, Gigi D'Agostino",In My Mind
920,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix
921,Flipp Dinero,Leave Me Alone
922,A Boogie Wit da Hoodie,Look Back at It
923,Post Malone,rockstar (feat. 21 Savage)
924,XXXTENTACION,Moonlight
925,Bad Bunny,Solo de Mi
926,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up in the Sky
927,Imagine Dragons,Bad Liar
928,"Calvin Harris, Jessie Reyez",Promises (with Sam Smith)
929,"Cardi B, Bad Bunny, J Balvin",I Like It
930,XXXTENTACION,whoa (mind in awe)
931,"Daddy Yankee, Anuel AA",Adictiva
932,Zara Larsson,Ruin My Life
933,"Billie Eilish, Khalid",lovely
934,5 Seconds of Summer,Youngblood
935,Tyga,Taste (feat. Offset)
936,"Ozuna, Manuel Turizo",Vaina Loca
937,Drake,God's Plan
938,21 Savage,a lot
939,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos
940,"Dua Lipa, BLACKPINK",Kiss and Make Up
941,21 Savage,monster
942,Cardi B,Money
943,Drake,In My Feelings
944,Imagine Dragons,Natural
945,A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga)
946,Lukas Graham,Love Someone
947,Drake,Nonstop
948,Bazzi,Beautiful (feat. Camila Cabello)
949,"Luis Fonsi, Ozuna",Imposible
950,Rita Ora,Let You Love Me
951,Ariana Grande,no tears left to cry
952,"Anuel AA, Haze",Amanece
953,"6ix9ine, Anuel AA",BEBE
954,"Becky G, Paulo Londra",Cuando Te Besé
955,"6ix9ine, Tory Lanez",KIKA
956,Billie Eilish,idontwannabeyouanymore
957,"Kygo, Sandro Cavazza",Happy Now
958,Post Malone,Psycho (feat. Ty Dolla $ign)
959,Anne-Marie,2002
960,Loud Luxury,Body (feat. brando)
961,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",Bubalu
962,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie)
963,Calvin Harris,One Kiss (with Dua Lipa)
964,Future,Crushed Up
965,XXXTENTACION,BAD!
966,J Balvin,Reggaeton
967,Clean Bandit,Solo (feat. Demi Lovato)
968,Dua Lipa,IDGAF
969,Queen,Another One Bites The Dust - Remastered 2011
970,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Te Boté - Remix
971,"6ix9ine, Anuel AA",MALA
972,Queen,Don't Stop Me Now - Remastered 2011
973,Camila Cabello,Havana (feat. Young Thug)
974,Sam Smith,"Fire On Fire - From ""Watership Down"""
975,Juice WRLD,Armed And Dangerous
976,"David Guetta, Bebe Rexha, J Balvin",Say My Name
977,French Montana,No Stylist (feat. Drake)
978,benny blanco,Roses (with Juice WRLD feat. Brendon Urie)
979,George Ezra,Shotgun
980,"Lil Peep, XXXTENTACION",Falling Down - Bonus Track
981,Kanye West,I Love It (& Lil Pump)
982,"6ix9ine, Nicki Minaj, Murda Beatz",FEFE
983,Ariana Grande,breathin
984,"Jonas Blue, Jack & Jack",Rise
985,"Sebastian Yatra, Mau y Ricky",Ya No Tiene Novio
986,Bad Bunny,NI BIEN NI MAL
987,"Zedd, Maren Morris, Grey",The Middle
988,XXXTENTACION,changes
989,Travis Scott,YOSEMITE
990,Chris Brown,Undecided
991,"Marshmello, Anne-Marie",FRIENDS
992,JENNIE,SOLO
993,"The Chainsmokers, Kelsea Ballerini",This Feeling
994,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack
995,Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse"
996,Lil Pump,Butterfly Doors
997,Ariana Grande,God is a woman
998,"Silk City, Diplo, Mark Ronson",Electricity (with Dua Lipa)
999,H.E.R.,Best Part (feat. Daniel Caesar)
1000,"KAROL G, Anuel AA",Culpables
1001,"Queen, David Bowie",Under Pressure - Remastered 2011
1002,Little Mix,Woman Like Me (feat. Nicki Minaj)
1003,BlocBoy JB,Look Alive (feat. Drake)
1004,Lady Gaga,Always Remember Us This Way
1005,"Reik, Maluma",Amigos Con Derechos
1006,Bebe Rexha,I'm a Mess
1007,Queen,Somebody To Love - Remastered 2011
1008,"KAROL G, Maluma",Créeme
1009,Eminem,Lucky You (feat. Joyner Lucas)
1010,"Sia, Diplo, Labrinth, LSD",Thunderclouds
1011,Billie Eilish,bellyache
1012,"The Chainsmokers, Winona Oak",Hope
1013,SHAED,Trampoline
1014,Ski Mask The Slump God,Nuketown (feat. Juice WRLD)
1015,Metro Boomin,Space Cadet (feat. Gunna)
1016,Billie Eilish,ocean eyes
1017,Khalid,Love Lies (with Normani)
1018,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine)
1019,"Tiësto, Dzeko, Preme, Post Malone",Jackie Chan
1020,Shawn Mendes,In My Blood
1021,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)"
1022,Lil Mosey,Noticed
1023,Piso 21,Puntos Suspensivos
1024,Drake,Nice For What
1025,"Marshmello, Roddy Ricch",Project Dreams
1026,"Future, Juice WRLD",Fine China
1027,Kevin Roldan,PPP
1028,21 Savage,all my friends
1029,"Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA",Asesina - Remix
1030,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta)
1031,Maluma,Mala Mía
1032,"Lil Baby, Drake",Yes Indeed
1033,"Felipe Araújo, Ferrugem",Atrasadinha - Ao Vivo
1034,Kodak Black,Calling My Spirit
1035,Kendrick Lamar,All The Stars (with SZA)
1036,"Ozuna, Romeo Santos",Ibiza
1037,"Becky G, Natti Natasha",Sin Pijama
1038,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)"
1039,Rich The Kid,Splashin
1040,Bazzi,Mine
1041,Gabriel Diniz,Jenifer
1042,"J Balvin, Zion & Lennox",No Es Justo
1043,Capital Bra,Benzema
1044,"Maroon 5, SZA",What Lovers Do
1045,Trippie Redd,Topanga
1046,TOTO,Africa
1047,Queen,We Will Rock You - Remastered
1048,"Zac Efron, Zendaya",Rewrite The Stars
1049,Jason Mraz,I'm Yours
1050,Billie Eilish,come out and play
1051,The Weeknd,Call Out My Name
1052,"Zedd, Elley Duhé",Happy Now
1053,"6ix9ine, Nicki Minaj, Kanye West",MAMA
1054,Lewis Capaldi,Someone You Loved
1055,Martin Garrix,Ocean (feat. Khalid)
1056,Metro Boomin,10 Freaky Girls (with 21 Savage)
1057,Travis Scott,STARGAZING
1058,Sam Smith,Dancing With A Stranger (with Normani)
1059,"Gesaffelstein, The Weeknd",Lost in the Fire
1060,Calvin Harris,Giant (with Rag'n'Bone Man)
1061,Ozuna,Baila Baila Baila
1062,Shindy,DODI
1063,Kehlani,Nights Like This (feat. Ty Dolla $ign)
1064,"Piso 21, Micro TDH",Te Vi
1065,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA
1066,Alec Benjamin,Let Me Down Slowly
1067,Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it
1068,"DENNIS, MC Kevinho",Agora é Tudo Meu
1069,Manuel Turizo,Sola
1070,Ariana Grande,7 rings
1071,"Anuel AA, KAROL G",Secreto
1072,Logic,Keanu Reeves
1073,Future,First Off (feat. Travis Scott)
1074,MERO,Hobby Hobby
1075,J. Cole,MIDDLE CHILD
1076,"James Blake, Travis Scott, Metro Boomin",Mile High
1077,5 Seconds of Summer,Lie To Me (feat. Julia Michaels)
1078,Mustard,Pure Water (with Migos)
1079,Future,Jumpin on a Jet
1080,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku",So Close
1081,Luche,Stamm Fort (feat. Sfera Ebbasta)
1082,Dua Lipa,"Swan Song - From the Motion Picture ""Alita: Battle Angel"""
1083,"Lauv, Troye Sivan",i'm so tired...
1084,"Daddy Yankee, Snow",Con Calma
1085,XXXTENTACION,Sauce!
1086,Capital Bra,Prinzessa
1087,Billie Eilish,bury a friend
1088,Blueface,Thotiana
1089,Robin Schulz,Speechless (feat. Erika Sirola)
1090,Tyga,Girls Have Fun (feat. G-Eazy & Rich The Kid)
1091,Julia Michaels,Anxiety (with Selena Gomez)
1092,"Sebastian Yatra, Reik",Un Año
1093,Reynmen,Derdim Olsun
1094,Dean Lewis,7 Minutes
1095,Dominic Fike,3 Nights
1096,Lil Pump,Racks on Racks
1097,Mabel,Don't Call Me Up
1098,Shawn Mendes,Lost In Japan
1099,Marshmello,Alone
1100,"Anitta, MC Kevinho",Terremoto
1101,Gunna,One Call
1102,"Logic, Marshmello",Everyday
1103,"Loredana, Mozzik",ROMEO & JULIET
1104,Galantis,Bones (feat. OneRepublic)
1105,"The Rudeboyz, Jowell & Randy, Manuel Turizo",Dile la Verdad
1106,Ariana Grande,"break up with your girlfriend, i'm bored"
1107,Ariana Grande,needy
1108,Ariana Grande,NASA
1109,Ariana Grande,bloodline
1110,Ariana Grande,bad idea
1111,Ariana Grande,fake smile
1112,Ariana Grande,ghostin
1113,Ariana Grande,in my head
1114,Ariana Grande,make up
1115,"Khalid, Disclosure",Talk
1116,"The Chainsmokers, 5 Seconds of Summer",Who Do You Love
1117,Mahmood,Soldi
1118,"Eno, MERO",Ferrari
1119,Ultimo,I Tuoi Particolari
1120,"Azet, Zuna",Hallo Hallo
1121,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)
1122,"David Guetta, Brooks, Loote",Better When You're Gone
1123,Irama,La ragazza con il cuore di latta
1124,Lil Baby,Pure Cocaine
1125,"Cardi B, Bruno Mars",Please Me
1126,Juice WRLD,Robbery
1127,YNW Melly,Murder On My Mind
1128,"Zedd, Katy Perry",365
1129,"Kygo, Valerie Broussard",Think About You
1130,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker)
1131,Offset,Red Room
1132,Dennis Lloyd,Never Go Back
1133,"KC Rebell, Summer Cem, Capital Bra",DNA
1134,Bebe Rexha,Last Hurrah
1135,"ChocQuibTown, Zion & Lennox, Farruko",Pa Olvidarte (feat. Manuel Turizo) - Remix
1136,Paulo Londra,Forever Alone
1137,Avril Lavigne,Dumb Blonde (feat. Nicki Minaj)
1138,YNW Melly,Mixed Personalities (feat. Kanye West)
1139,Offset,Legacy (feat. Travis Scott & 21 Savage)
1140,"Tropkillaz, J Balvin, Anitta, Mc Zaac",Bola Rebola
1141,P!nk,Walk Me Home
1142,Martin Garrix,No Sleep (feat. Bonn)
1143,Lil Pump,Be Like Me (feat. Lil Wayne)
1144,Ninho,Goutte d'eau
1145,John Mayer,I Guess I Just Feel Like
1146,Gunna,Outstanding
1147,Capital Bra,Capital Bra je m'appelle
1148,Offset,How Did I Get Here (feat. J. Cole)
1149,Gunna,Speed It Up
1150,"Amenazzy, Nicky Jam, Farruko",Baby
1151,SHIRIN DAVID,Gib Ihm
1152,"Manuel Turizo, Ozuna",Esclavo de Tus Besos
1153,Why Don't We,Big Plans
1154,Queen,Killer Queen - Remastered 2011
1155,Jonas Brothers,Sucker
1156,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)"
1157,Billie Eilish,wish you were gay
1158,Lil Skies,I
1159,Maluma,HP
1160,Juice WRLD,Hear Me Calling
1161,Summer Walker,Girls Need Love (with Drake) - Remix
1162,2 Chainz,Rule The World (feat. Ariana Grande)
1163,2 Chainz,Whip (feat. Travis Scott)
1164,Hozier,Almost (Sweet Music)
1165,Blueface,"Thotiana (feat. Cardi B, YG) [Remix]"
1166,Lil Skies,Bad Girls (feat. Gucci Mane)
1167,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",Pa Mí - Remix
1168,Aaron Smith,Dancin (feat. Luvli) - Krono Remix
1169,Solange,Almeda
1170,"Wisin & Yandel, Romeo Santos",Aullando
1171,Tom Walker,Just You and I
1172,Calboy,Envy Me
1173,Ski Mask The Slump God,Faucet Failure
1174,Julia Michaels,What A Time (feat. Niall Horan)
1175,"Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone",Ta To Gucci (Remix)
1176,Juice WRLD,All Girls Are The Same
1177,Juice WRLD,Fast
1178,Khalid,My Bad
1179,"Marshmello, CHVRCHES",Here With Me
1180,MERO,Wolke 10
1181,Juice WRLD,Empty
1182,Juice WRLD,Make Believe
1183,Juice WRLD,Maze
1184,Lil Nas X,Old Town Road
1185,Juice WRLD,HeMotions
1186,Juice WRLD,Flaws And Sins
1187,Juice WRLD,Feeling
1188,"Lunay, Chris Jedi, Gaby Music",Soltera
1189,Ava Max,So Am I
1190,Juice WRLD,Ring Ring (with Rvssian feat. Clever)
1191,TOMORROW X TOGETHER,CROWN
1192,Sofia Reyes,R.I.P. (feat. Rita Ora & Anitta)
1193,"Capital Bra, Samra",Wir ticken
1194,ScHoolboy Q,Numb Numb Juice
1195,Ufo361,Pass auf wen du liebst
1196,Maren Morris,The Bones
1197,"Sia, Diplo, Labrinth, LSD",No New Friends
1198,Tory Lanez,Freaky
1199,KC Rebell,Alleen
1200,MERO,Jay Jay
1201,"Myke Towers, Farruko",Si Se Da
1202,"Post Malone, Roddy Ricch, Tyga",Wow. - Remix
1203,FLETCHER,Undrunk
1204,"Sean Paul, J Balvin",Contra La Pared
1205,Bad Bunny,Caro
1206,PNL,Au DD
1207,Capital Bra,Cherry Lady
1208,"Alan Walker, Sabrina Carpenter, Farruko",On My Way
1209,"Nicky Jam, Ozuna",Te Robaré
1210,Paloma Mami,Fingías
1211,NAV,Price On My Head (feat. The Weeknd)
1212,Eno,Blackberry Sky
1213,Logic,Confessions of a Dangerous Mind
1214,Ninho,Maman ne le sait pas (feat. Niska)
1215,Fero47,Puerto Rico
1216,"Luciano, Samra",Ya Salame
1217,Tame Impala,Patience
1218,Sebastian Yatra,Cristina
1219,Gaullin,Moonlight
1220,Ninho,La vie qu'on mène
1221,Billie Eilish,bad guy
1222,Billie Eilish,all the good girls go to hell
1223,Billie Eilish,xanny
1224,Billie Eilish,you should see me in a crown
1225,Billie Eilish,my strange addiction
1226,Billie Eilish,i love you
1227,Billie Eilish,ilomilo
1228,Billie Eilish,listen before i go
1229,Billie Eilish,8
1230,"ROSALÍA, J Balvin, El Guincho",Con Altura
1231,Billie Eilish,goodbye
1232,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Verte Ir
1233,Ariana Grande,MONOPOLY (with Victoria Monét)
